player,elo_global,elo_Hard,elo_Clay,elo_Grass
Kevin King,1567.994822041106,1528.565349573157,1459.5896858264216,1488.5094823193408
Daniel Masur,1621.3071855728704,1607.0477354396216,1577.5908369574054,1496.6825117399749
Denis Yevseyev,1647.922798564461,1589.8929727872678,1581.302421611549,1517.8480412227118
Maximilian Neuchrist,1556.4164392990265,1535.045136260591,1549.213401017268,1479.0
Dennis Novak,1620.7040991884203,1605.976588884317,1636.7617567677785,1611.5228371270166
Riccardo Bonadio,1632.7305271982182,1518.8692367012277,1625.908044418545,1469.6945544710647
Christian Harrison,1594.6409049753927,1546.6138556999786,1596.7623258857975,1582.972724536593
Roberto Carballes Baena,1874.9071880943725,1723.604667196459,1828.4054896538391,1454.7493132918578
Luca Margaroli,1385.3317335305985,1399.1916294298076,1413.4074491586875,
Alexander Zverev,2200.982905201525,2102.0780290454327,2092.889431790164,1724.9004981123103
Jozef Kovalik,1709.2827112314603,1541.9871466794225,1700.4908050188023,1382.580112896256
Tristan Lamasine,1519.3139847410105,1590.5365756729525,1444.0601126673905,1523.3744156595235
Kelsey Stevenson,1337.40764315096,1348.1126977746503,1463.813608339634,
Wishaya Trongcharoenchaikul,1464.226840199836,1443.9066384058704,1524.1136995621398,1500.929538786305
Yasutaka Uchiyama,1702.5724016396807,1655.276914760083,1474.2250892985887,1473.9183993643708
Min Kyu Song,1446.4775993006826,1434.8356926482356,1501.8148934712035,
Evgeny Karlovskiy,1494.5992654825395,1481.143458296524,1505.4879392104417,1489.9734992533524
Alex Bolt,1730.8771813508115,1619.6026178387249,1359.3119302423486,1649.070239067884
Jeevan Nedunchezhiyan,1372.9000966585395,1374.719474775162,1463.6193316926476,1476.5909655265257
Ramkumar Ramanathan,1494.4893970504368,1479.922693973194,1458.9884636296606,1508.3097139369852
Nick Kyrgios,2131.7079336747747,2043.9158214989752,1808.4417745066853,1760.30767804897
Karim Mohamed Maamoun,1516.8953787396358,1504.2248875810933,1482.128879474978,
Roberto Cid,1455.1076166502446,1464.41026820975,1459.046900404663,1477.3660374647814
Darian King,1615.4034672510174,1609.8391467589486,1472.3694449450154,1461.8028724235717
Cristian Garin,1740.7185422207474,1689.9403604891804,1705.011043536897,1640.8408414067064
Vladyslav Manafov,1432.8061872133983,1491.9761944760317,1414.3554722254798,
Enrique Bogo,1431.2296710932635,,1426.234259094787,
Oriol Roca Batalla,1629.509003261757,1498.342655851951,1607.3236451368534,1469.2551318959206
Alexander Ritschard,1714.3716179799544,1542.3593325935426,1782.1888254057817,1505.1015034523682
Skander Mansouri,1515.9311691020848,1463.17624850088,1471.79916124251,1500.9983421327038
Ivan Sabanov,1355.9979698912794,1408.659212523561,1419.458273869894,
